Component,TMRL,OSCM,±SE,P- value
Dry matter,65.6,67.7,±1.45,0.18
Organic matter,65,69.8,±1.45,0.09
Crude protein,58.6,62,±2.02,0.2
Neutral detergent fibre,56.2,60.6,±1.93,0.3
Acid detergent fibre,50.6,51.8,±2.40,0.82
