,Voluntary intake (g/kg/day),Voluntary intake (g/kg/day),Voluntary intake (g/kg/day),Voluntary intake (g/kg/day),Voluntary intake (g/kg BW 0.75 /day),Voluntary intake (g/kg BW 0.75 /day),Voluntary intake (g/kg BW 0.75 /day),Voluntary intake (g/kg BW 0.75 /day)
Component,TMRL,OSCM,±SE,P- value,TMRL,OSCM,±SE,P- value
Dry matter,1102.4 a,741.0 b,±76.5,0.01,78.5 a,56.2 b,±4.30,0.01
Organic matter,1022.0 a,696.6 b,±65.8,0.01,72.9 a,52.7 b,±4.26,0.02
Crude protein,131.0 a,89.6 b,±9.1,0.01,9.4 a,6.8 b,±0.56,0.01
Neutral detergent fibre,517.0 a,381.8 b,±36.0,0.03,36.7 a,28.8 b,±1.98,0.04
