Component, Digestible intake (g/goat/day) - TMRL, Digestible intake (g/goat/day) - OSCM, SE, P-value, Digestible intake (g/kg BW 0.75 /day) - TMRL, Digestible intake (g/kg BW 0.75 /day) - OSCM, SE, P-value
Organic matter,604.0 a,656.0 b,"±13.2","0.04",43.7,49.4,"±2.0","0.15"
Crude protein,71.5,77.1,"±2.6","0.20",5.0,5.8,"±0.3","0.20"
Neutral detergent fibre,157.1,137.6,"±17.7","0.15",19.0,23.8,"±1.3","0.06"
Acid detergent fibre,138.8,137.6,"±7.4","0.94",10.0,10.4,"±0.7","0.79"
