Trait,TMRL,OSCM,±SE,P- value
Slaughter bodyweight (kg/goat, SLW),29.4,27.5,"±2.6","0.67"
Empty bodyweight (kg/goat, EBW),26.5,24.5,"±2.2","0.79"
Warm carcass weight,13.3,12.7,"±1.2","0.89"
Cold carcass weight,12.6,11.9,"±1.2","0.9"
Commercial dressing pecentage 1,54.9,54.3,"±0.9","0.64"
Real dressing percentage 1,52.6,50.5,"±0.9","0.61"
