Component,TMRL,OSCM
Yellow maize meal,22.0,27.0
Eragrostis curvula,18.0,30.0
Leucaena leucocephala,25.0,0.0
Wheat bran,8.0,8.0
Cottonseed oil cake meal,9.0,11.0
Sunflower oil cake meal,9.0,11.0
Full fat soybean meal,0.0,4.0
Molasses meal,7.0,7.0
Mineral mix 2,2.0,2.0
Chemical composition,, 
Crude protein,11.9,12.0
ASH,7.3,6.0
Neutral detergent fibre,46.5,51.0
