Trait,TMRL,OSCM,±SEM,P value
Drip loss (kg/goat),0.7,0.8,"±0.1","0.79"
Cooking loss (%),27.4,25.9,"±2.0","0.61"
Shear force (N),18.2,17.4,"±1.4","0.71"
